Nombre del trabajador;¿Como describirías tu experiencia de trabajo hasta ahora en Flexográfico?;¿Cuáles son tus principales fortalezas y cómo crees que se están aprovechando en tu rol actual?;¿Hay alguna habilidad o conocimiento específico que te gustaría adquirir o desarrollar en tu puesto?;¿Cuál es tu opinión sobre el ambiente de trabajo y la cultura de la empresa?;¿Hay alguna política o procedimiento interno que consideres que podría mejorarse?;¿Qué aspectos te motivan y te desmotivan en tu trabajo diario?;¿Cómo podemos apoyarte mejor en tu desarrollo profesional y personal?;¿Cual es tu opinión acerca de los errores que se comenten en la empresa?¿Cómo crees que sería la manera correcta de comunicarlos y corregirlos tanto por parte de dirección como trabajadores?;"PERFILES TECNICOS: 
¿Qué sugerencias tienes para mejorar la eficiencia o la calidad en nuestras operaciones técnicas?";"PERFILES TECNICOS:
¿Cómo utilizas la retroalimentación y los errores para aprender y crecer en tu rol técnico?"
A;Satisfactoria, 5 años.;Ordenada, metódica, cantidad de trabajo elevada;diseño estructural, troqueles, flexible;Ambiente normal, estable. ;Perfecto...;Hace lo que le gusta, en general ninguno.;Ni idea. ;Mas comunicación entre dept. ;;
B;buena;experiencia;filmación, diseño;buen ambiente;estandarizar procesos trabajos ;motivan: nada, desmotivan: gestión productiva;ir progresando en el ámbito laboral;el trabajo depende mucho del trabajo humano y no tanto de las maquinas, registro de los fallos para conocer el porque ;;
C;Con Alti-bajos diferentes situaciones. Bien. ;Me desenvuelvo mejor cuando hay presión. ;Troqueles, diseño web;Hoy en día muy bien, épocas...Cultura: bajo trato personal. ;No, libertad a la hora de trabajar, fluido. Mucho dialogo. ;Motiva: mucho trabajo. Desmotivan: Poco trabajo, falta compañerismo. ;Ningún problema. ;Solventar: mayor tiempo, revisión. Comunicarlo: como se hace, por qué?;Cuello de botella en planificación. -> tareas que no están reflejadas en la plataforma. ;
D;productiva y enriquecedora;persona organizada y responsable;ver otros sistemas de organización ;ambiente actual muy individualizado;reuniones para evitar errores , hacer seguimiento;motivación: irte a casa con la sensación de haber hecho bien el trabajo, desmotivan: no hacer seguimientos;personal: bueno, profesional: más formación;comunicarlos presencial, para evitar errores informar al cliente que hay que seguir unos procedimientos mínimos ;;
E;bien;adaptación rapida;no;ambiente normal;no mejoraría nada ;motivación: polivalente , desmotivan: las prisas ;personal: jornada intensiva, profesional: nada;comunicar: personal, corregir: evitar prisas;;
F;buena;adaptación y fácil aprendizaje;seguir aprendiendo en todos los ámbitos del diseño;se siente observada, que se avise con antelación los cambios de horario dos semanas mínimo;no;"motivan: nada; desmotivan: los compañeros";seguir aprendiendo;"comunicarlos: personalmente ; corregirlos: depende del interés personal de cada uno.";;
G;buena ;persona metodica;no;ambiente dependiendo de la persona mejor o peor.;procedimiento bueno, ;desmotiva: horario, motiva: cobrar mensualmente;nada;"cree que no hay manera de corregir errores porque es error humano.
hay que comunicarlo ";fomentar la revision y repaso;
H;buena;buen trabajador, se preocupa mucho por su trabajo;aprender aspectos más creativos;buen ambiente;cree que es pronto valorar los procedimientos que se están aplicando;motivan: trato personal con gerencia, desmotiva: aspecto economico;nada;analizar error por error y ver porque ha sucedido, corregir implicando al trabajador para que no vuelva a ocurrir;que haya un mejor seguimiento de los trabajos, más controles de calidad en clientes más exigentes, etc;
I;interesante, buena , constructiva;perfeccionista ;potenciar tema del tratamiento de las imágenes y color;ambiente regular con ciertos compañeros;mejorar recepción de trabajos pasa mucho tiempo desde que el cliente envía el trabajo hasta que llega a diseño, hay que repasar más.;desmotiva: economico, erte, la no implicacion de los compañeros ;quiere hacer más trabajos de calidad, personal nada;evitar errores persiguiendo ese error y ver porque ha sudecido, comunicarlo tanto escrito como verbal ;;
J;rutina;persona metodica;no;cree que la empresa está intentando seguir adelante con los clientes y trabajo que hay. Ambiente trabajo bueno ;mejorar horarios ;"motivación: económica; desmotivación: económica ";nada;muchos errores por las urgencias y la mala información, hay que intentar que los clientes te den toda la información y no hayan urgencias ;Mejorar la rapidez de los ordenadores.;
K;Positiva. Proyecto flexible bajo.;Capacidad de comunicación. Capacidad de liderazgo. ;Offset, diseño estructural: troqueles. ;Buen ambiente de trabajo, le gusta.;Si pero no se lo ha planteado. ;"Desmotivación: sin comunicación con el cliente. Repeticiones. 
Motivación: proyectos finitos. ";Involucración en las decisiones que se toman que le involucren. Tiene conocimiento que no se usa. ;No hay corrector. Cada uno el del otro, falta un paso. Proceso intermedio de revisión. ;;
L;Buena, normal, ultimamente mas costoso;Bastante polivalente. (Más responsabilidades, más trabajo que hacer);Nada, hace de todo...;Ambiente ha cambiado la gente está mas cansada. ;"Unos cuantos: calidad -> gente mejor cualificada para llevar ese tema. 
Vacíos en la plataforma que llevan posibles errores y problemas. 
Replantear estructura de planificación. Tiempos de apertura...";Saber más, aprender. Desmotivaciones: cada vez más cosas para hacer. Delegar en la misma sección -> buscar, repasar... ;No saltar entre sección. Personal: horario, económico. ;A partir de x hora no hay repaso -> fuera calidad. Comunicación personal. ;;
M;buena ;abierto a cambios, la empresa se aprovecha de que lo hace pero sin protocolizar ;no;ambiente bueno ;planificación de los procesos nuevos;"motivan: ambiente trabajo, horario, ha ganado calidad de vida,; desmotiva: falta de planificación ";actualizarse en nuevas técnicas ;"hay que corregirlo una persona ajena a la persona que lo hace .
comunicarlo como hasta ahora";repasar más, añadir a las opciones del checklist;
N;Satisfactoria;trato más personal con el cliente y se está aprovechando;nada;ambiente regular depende de con quien ;no sabe, aún es pronto con las nuevas plataformas de los clientes ;"desmotivar: ninguno; motivar: ninguno";ahora mismo nada ;"comunicarlo: personalmente; corregirlos: más atención.";;
